1;Кинокамера Red Scarlet с аксессуарами и объективами;Камера Scarlet-X - основанная на S35 Mysterium-X сенсоре (таком же, как у Epic). Эта камера может записывать изображение с разрешением 5120 x 2700 (5K) пикселей на 12 кадрах в секунду. При 25 кадрах в секунду разрешение составит 4К (4096 x 2160), при 120 кадрах в секунду — примерно 1К. Обозреватели окрестили Scarlet «младшей сестрёнкой Epic», так как она может использовать любые эпиковские аксессуары. Возможно применение объективов как PL, так и Canon.;20 000 руб. в день
2;Видеокамера Panasonic AG-HMC154;"Профессиональная камера среднего класса. Оснащена 1/3"" матрицей типа CCD, обеспечивающей съёмку фото и видео в разрешении до 1920х1080 (50i либо 25p). Имеет 9 режимов автоэкспозиции и обширные возможности по ручной настройке; специальные возможности съёмки включают предварительную запись (Pre-Rec) и режим LP. Запись ведётся на карты памяти SD, встроенной памяти камера не имеет. В дополнение к дисплею предусмотрен видоискатель. Комплектуется пультом ДУ.";10 000 руб. в день
3;Цифровая фото-видео камера Canon 6D;"Полнокадровая (full frame) зеркальная камера, наследница модели 5D. В своём классе относится к начальному ценовому диапазону, в то же время имеет вполне достойный набор характеристик. Так, диапазон чувствительности матрицы в расширенном режиме может достигать ISO 50 – 102 400 (штатно 100 – 25 600), скорость серийной съёмки составляет 4,5 к/с, разрешение видеозаписи — 1920х1080, а дополнительное оснащение включает GPS-модуль. Экран с режимом LiveView имеет диагональ 3,2"" и разрешение 1 Мп.";2 000 руб. в день
4;Экшн-камера GoPro 4;Отличное качество изображения, запись 4К и 2.7К-видео, хорошая работа в условиях недостаточной освещённости, широкий охват Wi-Fi-соединения, нет дисплея.;1 000 руб. в день
5;Камера Lumix fz-1000;"Крупная (для данного класса) матрица на 1"". 16х оптическое увеличение. Пятиосевой оптический стабилизатор. Возможность выбора между механическим и электронным затвором. Видеосъёмка 4K. Модуль Wi-Fi и чип NFC. Поворотный экран.";1 500 руб. в день
6;Камера Dji Osmo;Запись 4К-видео, эффективный трёхосевой стабилизатор, съёмка панорам 360°, наличие крепления под смартфон, широкий парк аксессуаров;2 000 руб. в день
7;Коптер Dji Inspire 1 с камерой x3;Камера со сменной оптикой. Высокая детализация и широкий динамический диапазон видео. Радиус полета до 2000 м. Подъёмное шасси.;5 000 руб. в день
8;Кран Proaim 5 метров;Учитывая потребность киноиндустрии в высококачественном профессиоанальном оборудовании, Proaim выпустила операторский кран Jib Camera Crane. Огромный ряд преимуществ, таких, например, как возможность вращения камеры на 360°, позволяет снимать видео невероятного качества. Это устройство непревзойденного качества подходит даже для самых тяжелых камер массой до 7 кг.;7 000 руб. в день
9;Стэдикам Stabicam D-550;"Универсальная система стабилизации с ""плавающим"" подшипником, для компактных видео, DSLR и кинокамер общим весом системы до 5,5 кг.";2 000 руб. в день
10;Слайдер Slidekamera 1500 + manfrotto head;Слайдер SlideKamera серии HSK является профессиональным оборудованием, предназначенным для мягкого, точного и бесшумного перемещения видео- или фотокамеры во время видеосъемки. Специально разработанная каретка, перемещающаяся по направляющей, снабжена тремя большими алюминиевыми роликами.Тщательно подогнанные ролики уменьшают силу трения до минимума.;4 000 руб. в день
11;Штатив Libeс;Профессиональный штатив Libec TH-650HD. Алюминиевая штативная система с 2-х коленным выдвижением, срединной растяжкой, 65мм шаровой опорой, полезной нагрузкой до 3 кг и диапазоном высот 70-150см для небольших HDV камкордеров и DSLR-камер.;1 000 руб. в день
12;Микрофон-репортажный Shure;Микрофон динамически вокально-речевой с выключателем и кабелем, черный, серебристая сетка.;1 000 руб. в день
13;Профессиональный монитор Small HD DP-7;"SmallHD DP7-PRO — представляет собой мощный и быстрый способ контролировать видео высокой четкости. Он оснащен такими инструментами как Waveform, Vectorscope и RGB Parade, система меню DP7-PRO и интерфейс позволяют пользователю с легкостью получить доступ к изменению настроек. Также монитор оснащен встроенным конвертором SDI в HDMI и HDMI в SDI; выходами SDI in, SDI+HDMI out or HDMI in, HDMI+SDI out; зеброй и функцией фокус ассист.";2 000 руб. в день
14;Видео микшерский пульт Roland Edirol V-8;ROLAND V-8 – это новое поколение видео микширования, продукт естественной эволюции компактного микшера V-4.;2 000 руб. в день
15;Система стабилизации Movi;В конструкции используется 3-осевая гироскопическая система стабилизации. Ригом весом всего около 1.3 кг можно управлять как одному оператору, так и с помощником, который удаленно с помощью джойстика будет управлять шарниром.;3 000 руб. в день
